AB,Defect,Type,Plot,Label,gap,VBM,Toten_pure,Toten_p2,Toten_p1,Toten_neut,Toten_m1,Toten_m2,Corr_p2,Corr_p1,Corr_neut,Corr_m1,Corr_m2,Corr_m3,Corr_m4,Corr_m5,mu_Cd_rich,mu_Te_rich,Defect
CdTe,As_Te,Impurity,Y,As$_{Te}$,1.5,1.826,-749.41,-752.83059,-750.99944,-749.15554,-747.30536,-744.23056,0.35719885,0.09331486,0,0.1172611,0.3710488,0,0,0,0.72,1.63,As_Te
CdTe,As_Te+As_i,Impurity,Y,As$_{Te}$+As$_{i}$,1.5,1.826,-749.41,-758.87179,-756.48438,-753.99393,-750.87772,-747.7601,0.32471503,0.09624539,0,0.13207583,0.34115458,0,0,0,7.078946,7.775576,As_Te+As_i
CdTe,As_Te+Cl_Te,Impurity,Y,As$_{Te}$+Cl$_{Te}$,1.5,1.826,-749.41,-752.36327,-750.57018,-748.76793,-745.72712,-742.68442,0.32238381,0.08699081,0,0.10769751,0.36152024,0,0,0,-0.14799,1.32368,As_Te+Cl_Te
CdTe,As_Te+Cl_i,Impurity,Y,As$_{Te}$+Cl$_{i}$,1.5,1.826,-749.41,-756.90243,-755.07165,-753.22098,-749.52767,-747.37344,0.31606829,0.1100161,0,0.10082358,0.34633714,0,0,0,5.490956,5.839256,As_Te+Cl_i
CdTe,As_Te+O_Te,Impurity,Y,As$_{Te}$+O$_{Te}$,1.5,1.826,-749.41,-755.51736,-753.7401,-751.95784,-750.15653,-747.24711,0.32278313,0.09736965,0,0.1218704,0.36759447,0,0,0,4.926929,6.338499,As_Te+O_Te
CdTe,As_Te+O_i,Impurity,Y,As$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-761.89294,-760.04235,-758.16492,-755.55943,-752.46316,0.35004965,0.13981513,0,0.12960852,0.36017874,0,0,0,10.565875,10.854075,As_Te+O_i
CdTe,As_i,Impurity,Y,As$_{i}$,1.5,1.826,-749.41,-757.10663,-753.96647,-752.41071,-750.2202,-745.49456,0.31670021,0.12053253,0,0.13315463,0.36986518,0,0,0,6.358946,6.145576,As_i
CdTe,As_i+As_i,Impurity,Y,As$_{i}$+As$_{i}$,1.5,1.826,-749.41,-763.59605,-761.13479,-758.0113,-755.09089,-752.06398,0.34420643,0.13618288,0,0.12809294,0.35636856,0,0,0,12.717892,12.291152,As_i+As_i
CdTe,As_i+Te_i,Impurity,Y,As$_{i}$+Te$_{i}$,1.5,1.826,-749.41,-761.55881,-759.66205,-756.46844,-753.27361,-750.00095,0.32559523,0.14194429,0,0.13494093,0.34297878,0,0,0,11.997892,10.661152,As_i+Te_i
CdTe,Bi_Cd,Impurity,Y,Bi$_{Cd}$,1.5,1.826,-749.41,-756.73387,-754.85528,-751.68021,-748.4997,-745.38879,0.32976162,0.12647067,0,0.14223459,0.33748275,0,0,0,4.496237,3.372866,Bi_Cd
CdTe,Bi_Cd+Bi_Te,Impurity,Y,Bi$_{Cd}$+Bi$_{Te}$,1.5,1.826,-749.41,-755.90582,-753.88736,-751.70762,-748.52803,-745.34448,0.35123005,0.12315229,0,0.1296379,0.33592154,0,0,0,4.653528,4.653526,Bi_Cd+Bi_Te
CdTe,Bi_Cd+Bi_i,Impurity,Y,Bi$_{Cd}$+Bi$_{i}$,1.5,1.826,-749.41,-760.09947,-757.29781,-754.10307,-750.65521,-747.22274,0.32216792,0.08829821,0,0.10554094,0.33554094,0,0,0,10.292474,9.169102,Bi_Cd+Bi_i
CdTe,Bi_Cd+Cl_Te,Impurity,Y,Bi$_{Cd}$+Cl$_{Te}$,1.5,1.826,-749.41,-756.05031,-752.9247,-749.7976,-746.71257,-743.45775,0.34637876,0.1243551,0,0.1303433,0.33479419,0,0,0,3.628247,3.066546,Bi_Cd+Cl_Te
CdTe,Bi_Cd+Cl_i,Impurity,Y,Bi$_{Cd}$+Cl$_{i}$,1.5,1.826,-749.41,-758.99898,-757.09761,-755.1898,-751.98629,-748.76356,0.35037663,0.10254988,0,0.11919071,0.36166691,0,0,0,9.267193,7.582122,Bi_Cd+Cl_i
CdTe,Bi_Cd+O_Te,Impurity,Y,Bi$_{Cd}$+O$_{Te}$,1.5,1.826,-749.41,-759.5353,-757.70826,-754.75167,-751.77181,-748.40953,0.32829172,0.08012027,0,0.14194836,0.35243623,0,0,0,8.703166,8.081365,Bi_Cd+O_Te
CdTe,Bi_Cd+O_i,Impurity,Y,Bi$_{Cd}$+O$_{i}$,1.5,1.826,-749.41,-762.58977,-760.71315,-758.8301,-756.94068,-753.7531,0.33966836,0.14276124,0,0.12323268,0.34307506,0,0,0,14.342112,12.596941,Bi_Cd+O_i
CdTe,Bi_Cd+Te_i,Impurity,Y,Bi$_{Cd}$+Te$_{i}$,1.5,1.826,-749.41,-758.6197,-756.09656,-754.3335,-751.08392,-747.21505,0.33885522,0.07834074,0,0.11441518,0.36471832,0,0,0,10.135183,7.888442,Bi_Cd+Te_i
CdTe,Bi_Cd+V_Cd,Impurity,Y,Bi$_{Cd}$+V$_{Cd}$,1.5,1.826,-749.41,-752.43862,-750.56478,-748.67991,-746.78703,-743.623,0.32055862,0.08184418,0,0.12550038,0.34208745,0,0,0,3.196237,0.949496,Bi_Cd+V_Cd
CdTe,Bi_Cd+V_Te,Impurity,Y,Bi$_{Cd}$+V$_{Te}$,1.5,1.826,-749.41,-749.83283,0,-744.11328,-740.92704,-737.92406,0.31466656,0.13839799,0,0.11913472,0.35742545,0,0,0,-1.142709,-1.14271,Bi_Cd+V_Te
CdTe,Bi_Te,Impurity,Y,Bi$_{Te}$,1.5,1.826,-749.41,-752.3648,-750.453,-748.42392,-746.20459,-743.10374,0.31780056,0.11943629,0,0.10601215,0.34695522,0,0,0,0.157291,1.28066,Bi_Te
CdTe,Bi_Te+Bi_i,Impurity,Y,Bi$_{Te}$+Bi$_{i}$,1.5,1.826,-749.41,-758.27504,-755.28716,-752.13513,-749.12936,-746.24074,0.3475538,0.10946182,0,0.13054644,0.35209939,0,0,0,5.953528,7.076896,Bi_Te+Bi_i
CdTe,Bi_Te+Cl_Te,Impurity,Y,Bi$_{Te}$+Cl$_{Te}$,1.5,1.826,-749.41,-751.67101,-749.79266,-747.69233,-744.62055,-741.54861,0.32518563,0.12032486,0,0.1381771,0.34973076,0,0,0,-0.710699,0.97434,Bi_Te+Cl_Te
CdTe,Bi_Te+Cl_i,Impurity,Y,Bi$_{Te}$+Cl$_{i}$,1.5,1.826,-749.41,0,-754.80231,-752.49419,-749.36641,-746.24775,0.31897215,0.07582548,0,0.13293167,0.33612812,0,0,0,4.928247,5.489916,Bi_Te+Cl_i
CdTe,Bi_Te+O_Te,Impurity,Y,Bi$_{Te}$+O$_{Te}$,1.5,1.826,-749.41,-755.23729,-753.37895,-751.48205,-749.18373,-746.23984,0.31580029,0.08581245,0,0.13904314,0.34092235,0,0,0,4.36422,5.989159,Bi_Te+O_Te
CdTe,Bi_Te+O_i,Impurity,Y,Bi$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-761.71316,-759.75878,-757.12914,-754.00319,-750.86542,0.34475066,0.10503271,0,0.11913527,0.34354365,0,0,0,10.003166,10.504735,Bi_Te+O_i
CdTe,Bi_i,Impurity,Y,Bi$_{i}$,1.5,1.826,-749.41,-757.3722,-754.22882,-751.85624,-749.25268,-744.92942,0.33464285,0.08198585,0,0.13424456,0.37134096,0,0,0,5.796237,5.796236,Bi_i
CdTe,Bi_i+Bi_i,Impurity,Y,Bi$_{i}$+Bi$_{i}$,1.5,1.826,-749.41,-762.9729,-759.89508,-756.66359,-753.74166,-750.62678,0.31404984,0.1360986,0,0.11933236,0.35269948,0,0,0,11.592474,11.592472,Bi_i+Bi_i
CdTe,Bi_i+Te_i,Impurity,Y,Bi$_{i}$+Te$_{i}$,1.5,1.826,-749.41,-761.06484,-759.14324,-755.92116,-752.69945,-749.00886,0.32502351,0.08591691,0,0.1107925,0.33005073,0,0,0,11.435183,10.311812,Bi_i+Te_i
CdTe,Cd_i,Impurity,Y,Cd$_{i}$,1.5,1.826,-749.41,-755.02835,-751.93134,-748.83137,-745.46882,-742.05853,0.35577256,0.13647501,0,0.10076474,0.35550215,0,0,0,1.3,2.42337,Cd_i
