compound,structure,eform_ev_atom,edecomp_ev_fu,gap_prescreen_ev,theory
Ag1Al0.5Ga0.5S2,kesterite,-0.6368,-0.3469,1.365,PBEsol
Ag1Al0.5Ga0.5Se2,kesterite,-0.5194,-0.1775,0.724,PBEsol
Ag1Al0.5Ga0.5Se2,stannite,-0.4859,-0.0434,0.29,PBEsol
Ag1Al0.5Ga0.5Te2,kesterite,-0.2592,-0.1837,0.722,PBEsol
Ag1Al0.5Ga0.5Te2,stannite,-0.2308,-0.0698,0.119,PBEsol
Ag1Al0.5In0.5S1Se1,kesterite,-0.5214,-0.1801,0.756,PBEsol
Ag1Al0.5In0.5S1Se1,stannite,-0.5161,-0.1589,0.396,PBEsol
Ag1Al0.5In0.5S2,kesterite,-0.5832,-0.2643,1.064,PBEsol
Ag1Al0.5In0.5Se2,kesterite,-0.494,-0.1626,0.507,PBEsol
Ag1Al0.5In0.5Se2,stannite,-0.4782,-0.0997,0.166,PBEsol
Ag1Al0.5In0.5Te2,kesterite,-0.2461,-0.1539,0.698,PBEsol
Ag1Al0.5In0.5Te2,stannite,-0.2424,-0.1389,0.196,PBEsol
Ag1Al1S1Se1,kesterite,-0.6746,-0.2727,1.541,PBEsol
Ag1Al1S2,kesterite,-0.7575,-0.3422,1.922,PBEsol
Ag1Al1S2,stannite,-0.7192,-0.1889,1.443,PBEsol
Ag1Al1Se1Te1,kesterite,-0.4397,-0.1644,1.173,PBEsol
Ag1Al1Se1Te1,stannite,-0.3959,0.0108,0.394,PBEsol
Ag1Al1Se2,kesterite,-0.6022,-0.1741,1.206,PBEsol
Ag1Al1Se2,stannite,-0.5697,-0.0441,0.749,PBEsol
Ag1Al1Te2,kesterite,-0.2843,-0.1123,1.293,PBEsol
Ag1Al1Te2,stannite,-0.2429,0.0536,0.449,PBEsol
Ag1Ga0.5In0.5S1Se1,kesterite,-0.4292,-0.205,0.4,PBEsol
Ag1Ga0.5In0.5S1Se1,stannite,-0.4172,-0.1568,0.801,PBEsol
Ag1Ga0.5In0.5S2,kesterite,-0.4629,-0.2527,0.696,PBEsol
Ag1Ga0.5In0.5S2,stannite,-0.4495,-0.1991,0.437,PBEsol
Ag1Ga0.5In0.5Se2,kesterite,-0.4114,-0.1493,0.109,PBEsol
Ag1Ga0.5In0.5Se2,stannite,-0.3972,-0.0925,0.0,PBEsol
Ag1Ga0.5In0.5Te2,kesterite,-0.2154,-0.1849,0.232,PBEsol
Ag1Ga0.5In0.5Te2,stannite,-0.2031,-0.1359,0.149,PBEsol
Ag1Ga1S1Te1,kesterite,-0.3367,-0.1496,0.603,PBEsol
Ag1Ga1S1Te1,stannite,-0.2799,0.0775,0.004,PBEsol
Ag1Ga1S2,kesterite,-0.5136,-0.3059,1.084,PBEsol
Ag1Ga1S2,stannite,-0.4839,-0.1871,0.651,PBEsol
Ag1Ga1Se1Te1,kesterite,-0.3195,-0.1548,0.403,PBEsol
Ag1Ga1Se1Te1,stannite,-0.2786,0.009,0.356,PBEsol
Ag1Ga1Se2,kesterite,-0.437,-0.147,0.324,PBEsol
Ag1Ga1Se2,stannite,-0.4038,-0.0141,0.946,PBEsol
Ag1Ga1Te2,kesterite,-0.2132,-0.1356,0.427,PBEsol
Ag1Ga1Te2,stannite,-0.1964,-0.0686,0.106,PBEsol
Ag1In1S1Se1,kesterite,-0.4021,-0.188,0.191,PBEsol
Ag1In1S1Se1,stannite,-0.3901,-0.1398,0.906,PBEsol
Ag1In1S1Te1,kesterite,-0.2918,-0.1245,0.307,PBEsol
Ag1In1S1Te1,stannite,-0.2715,-0.0431,0.323,PBEsol
Ag1In1S2,kesterite,-0.4065,-0.141,0.385,PBEsol
Ag1In1S2,stannite,-0.4037,-0.1296,0.151,PBEsol
Ag1In1Se1Te1,kesterite,-0.29,-0.146,0.089,PBEsol
Ag1In1Se1Te1,stannite,-0.277,-0.0941,0.001,PBEsol
Ag1In1Se2,kesterite,-0.3936,-0.1471,0.074,PBEsol
Ag1In1Se2,stannite,-0.3826,-0.1032,0.0,PBEsol
Ag1In1Te2,kesterite,-0.1713,-0.0133,0.207,PBEsol
Ag1In1Te2,stannite,-0.1653,0.0103,0.103,PBEsol
Ag2Ba0.5Cd0.5Ge1S4,kesterite,-0.4752,0.0094,0.833,PBEsol
Ag2Ba0.5Cd0.5Ge1S4,stannite,-0.4745,0.0148,0.714,PBEsol
Ag2Ba0.5Cd0.5Ge1Se4,kesterite,-0.4024,0.4538,0.408,PBEsol
Ag2Ba0.5Cd0.5Ge1Se4,stannite,-0.424,0.2807,0.088,PBEsol
Ag2Ba0.5Cd0.5Ge1Te4,stannite,-0.1492,,0.137,PBEsol
Ag2Ba0.5Cd0.5Sn1S4,kesterite,-0.4678,0.3446,0.682,PBEsol
Ag2Ba0.5Cd0.5Sn1S4,stannite,-0.4633,0.3804,0.556,PBEsol
Ag2Ba0.5Cd0.5Sn1Se4,kesterite,-0.4507,0.4435,0.165,PBEsol
Ag2Ba0.5Cd0.5Sn1Se4,stannite,-0.4033,0.8227,0.146,PBEsol
Ag2Ba0.5Cd0.5Sn1Te4,stannite,-0.2592,,0.05,PBEsol
Ag2Ba0.5Cd0.5Zr1S4,kesterite,-0.8183,0.9601,1.479,PBEsol
Ag2Ba0.5Cd0.5Zr1S4,stannite,-0.8115,1.0141,1.117,PBEsol
Ag2Ba0.5Cd0.5Zr1Se4,kesterite,-0.7196,1.2486,1.134,PBEsol
Ag2Ba0.5Cd0.5Zr1Se4,stannite,-0.6749,1.6065,0.817,PBEsol
Ag2Ba0.5Cd0.5Zr1Te4,stannite,-0.4094,1.6267,0.509,PBEsol
Ag2Ba0.5Zn0.5Ge1S4,kesterite,-0.4876,0.1078,0.845,PBEsol
Ag2Ba0.5Zn0.5Ge1S4,stannite,-0.4546,0.372,0.499,PBEsol
Ag2Ba0.5Zn0.5Ge1Se4,kesterite,-0.4114,0.4921,0.338,PBEsol
Ag2Ba0.5Zn0.5Ge1Se4,stannite,-0.3862,0.6935,0.602,PBEsol
Ag2Ba0.5Zn0.5Ge1Te4,stannite,-0.1555,,0.023,PBEsol
Ag2Ba0.5Zn0.5Sn1S4,kesterite,-0.4914,0.3535,0.657,PBEsol
Ag2Ba0.5Zn0.5Sn1S4,stannite,-0.4632,0.5787,0.436,PBEsol
Ag2Ba0.5Zn0.5Sn1Se4,kesterite,-0.4326,0.6988,0.255,PBEsol
Ag2Ba0.5Zn0.5Sn1Se4,stannite,-0.4102,0.878,0.732,PBEsol
Ag2Ba0.5Zn0.5Sn1Te4,kesterite,-0.2526,,0.163,PBEsol
Ag2Ba0.5Zn0.5Sn1Te4,stannite,-0.2425,,0.288,PBEsol
Ag2Ba0.5Zn0.5Zr1S4,kesterite,-0.8408,0.977,1.322,PBEsol
Ag2Ba0.5Zn0.5Zr1S4,stannite,-0.8201,1.1433,1.123,PBEsol
Ag2Ba0.5Zn0.5Zr1Se4,kesterite,-0.706,1.4673,1.007,PBEsol
Ag2Ba0.5Zn0.5Zr1Se4,stannite,-0.6882,1.6098,0.787,PBEsol
Ag2Ba0.5Zn0.5Zr1Te4,kesterite,-0.317,2.3911,0.549,PBEsol
Ag2Ba0.5Zn0.5Zr1Te4,stannite,-0.3082,2.462,0.374,PBEsol
Ag2Ba1Ge0.5Zr0.5S4,kesterite,-0.8125,0.6408,1.169,PBEsol
Ag2Ba1Ge0.5Zr0.5S4,stannite,-0.8883,0.0344,1.33,PBEsol
Ag2Ba1Ge0.5Zr0.5Se4,kesterite,-0.7096,1.1375,0.776,PBEsol
Ag2Ba1Ge0.5Zr0.5Se4,stannite,-0.7559,0.7678,0.896,PBEsol
Ag2Ba1Ge0.5Zr0.5Te4,kesterite,-0.4291,,0.445,PBEsol
Ag2Ba1Ge1S1Se1Te2,stannite,-0.5695,,0.189,PBEsol
Ag2Ba1Ge1S1Se3,kesterite,-0.5751,0.558,0.597,PBEsol
Ag2Ba1Ge1S1Te3,kesterite,-0.3734,,0.265,PBEsol
Ag2Ba1Ge1S2Se2,kesterite,-0.5814,0.534,0.764,PBEsol
Ag2Ba1Ge1S2Se2,stannite,-0.7384,-0.7216,0.278,PBEsol
Ag2Ba1Ge1S3Se1,kesterite,-0.6131,0.3263,0.862,PBEsol
Ag2Ba1Ge1S3Se1,stannite,-0.7592,-0.8425,0.338,PBEsol
Ag2Ba1Ge1S4,kesterite,-0.6285,0.2828,0.926,PBEsol
Ag2Ba1Ge1S4,stannite,-0.7828,-0.9516,0.706,PBEsol
Ag2Ba1Ge1Se2Te2,stannite,-0.568,,0.064,PBEsol
Ag2Ba1Ge1Se4,kesterite,-0.538,0.8623,0.796,PBEsol
Ag2Ba1Ge1Se4,stannite,-0.7103,-0.5161,0.121,PBEsol
Ag2Ba1Ge1Te4,kesterite,-0.3126,,0.201,PBEsol
Ag2Ba1Ge1Te4,stannite,-0.4569,,0.248,PBEsol
Ag2Ba1Sn0.5Ge0.5S4,kesterite,-0.6326,0.3706,0.911,PBEsol
Ag2Ba1Sn0.5Ge0.5S4,stannite,-0.7254,-0.3721,1.22,PBEsol
Ag2Ba1Sn0.5Ge0.5Se4,kesterite,-0.5629,0.8331,0.412,PBEsol
Ag2Ba1Sn0.5Ge0.5Se4,stannite,-0.6296,0.2995,0.733,PBEsol
Ag2Ba1Sn0.5Zr0.5S4,kesterite,-0.7832,1.0131,1.2,PBEsol
Ag2Ba1Sn0.5Zr0.5S4,stannite,-0.8098,0.8,1.198,PBEsol
Ag2Ba1Sn0.5Zr0.5Se4,kesterite,-0.631,1.9548,0.865,PBEsol
Ag2Ba1Sn0.5Zr0.5Se4,stannite,-0.649,1.8112,0.811,PBEsol
Ag2Ba1Sn0.5Zr0.5Te4,stannite,-0.2248,,0.638,PBEsol
Ag2Ba1Sn1S1Se1Te2,stannite,-0.5397,,0.624,PBEsol
Ag2Ba1Sn1S1Se3,stannite,-0.6897,-0.0068,0.706,PBEsol
Ag2Ba1Sn1S1Te3,kesterite,-0.424,,0.111,PBEsol
Ag2Ba1Sn1S1Te3,stannite,-0.4846,,0.602,PBEsol
Ag2Ba1Sn1S2Se1Te1,kesterite,-0.548,,0.184,PBEsol
Ag2Ba1Sn1S2Se1Te1,stannite,-0.65,,0.8,PBEsol
Ag2Ba1Sn1S2Se2,kesterite,-0.6106,0.6263,0.679,PBEsol
Ag2Ba1Sn1S2Se2,stannite,-0.7095,-0.1649,0.862,PBEsol
Ag2Ba1Sn1S2Te2,kesterite,-0.4716,,0.4,PBEsol
Ag2Ba1Sn1S2Te2,stannite,-0.5995,,0.841,PBEsol
Ag2Ba1Sn1S3Se1,stannite,-0.7207,-0.2333,0.877,PBEsol
Ag2Ba1Sn1S3Te1,kesterite,-0.5652,,0.13,PBEsol
Ag2Ba1Sn1S3Te1,stannite,-0.666,,0.825,PBEsol
Ag2Ba1Sn1S4,kesterite,-0.6409,0.4595,0.931,PBEsol
Ag2Ba1Sn1S4,stannite,-0.7658,-0.5393,0.126,PBEsol
Ag2Ba1Sn1Se1Te3,kesterite,-0.4088,,0.121,PBEsol
Ag2Ba1Sn1Se2Te2,kesterite,-0.4584,,0.287,PBEsol
Ag2Ba1Sn1Se2Te2,stannite,-0.583,,0.683,PBEsol
Ag2Ba1Sn1Se3Te1,kesterite,-0.5297,,0.177,PBEsol
Ag2Ba1Sn1Se3Te1,stannite,-0.6326,,0.541,PBEsol
Ag2Ba1Sn1Se4,kesterite,-0.5661,1.0139,0.072,PBEsol
Ag2Ba1Sn1Se4,stannite,-0.6833,0.0767,0.565,PBEsol
Ag2Ba1Sn1Te4,kesterite,-0.3674,,0.288,PBEsol
Ag2Ba1Sn1Te4,stannite,-0.4798,,0.312,PBEsol
Ag2Ba1Zr1S1Se1Te2,kesterite,-0.7387,1.538,0.555,PBEsol
Ag2Ba1Zr1S1Se1Te2,stannite,-0.7747,1.2504,1.153,PBEsol
Ag2Ba1Zr1S1Se2Te1,kesterite,-0.8264,1.3853,0.702,PBEsol
