compound,defect,cdir,nelect,F,conv,lat_match
Ag1Al0.5Ga0.5S2_kesterite,V_Al,Charged+1,2228,-.13143998E+04,1,0
Ag1Al0.5Ga0.5S2_kesterite,V_Al,Charged+2,2227,-.13186871E+04,1,0
Ag1Al0.5Ga0.5S2_kesterite,V_Al,Charged-1,2230,-.13055886E+04,1,0
Ag1Al0.5Ga0.5S2_kesterite,V_Al,Charged-2,2231,-.13010013E+04,1,0
Ag1Al0.5Ga0.5S2_kesterite,V_Al,Neutral,2229.0000,-.13100440E+04,1,0
Ag1Al0.5Ga0.5S2_kesterite,V_S,Charged+1,2225,-.13164721E+04,1,0
Ag1Al0.5Ga0.5S2_kesterite,V_S,Charged+2,2224,-.13218494E+04,1,0
Ag1Al0.5Ga0.5S2_kesterite,V_S,Charged-1,2227,-.13072248E+04,1,0
Ag1Al0.5Ga0.5S2_kesterite,V_S,Charged-2,2228,-.13015295E+04,1,0
Ag1Al0.5Ga0.5S2_kesterite,V_S,Neutral,2226.0000,-.13129088E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Ag_Se,Charged+1,2236,-.12024214E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Ag_Se,Charged+2,2235,-.12059039E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Ag_Se,Charged-1,2238,-.11940804E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Ag_Se,Charged-2,2239,-.11897916E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Ag_Se,Neutral,2237.0000,-.11982817E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Se_Al,Charged+1,2228,-.11972545E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Se_Al,Charged+2,2227,-.12006415E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Se_Al,Charged-1,2230,-.11902979E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Se_Al,Charged-2,2231,-.11867220E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,Se_Al,Neutral,2229.0000,-.11938124E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,V_Al,Charged+1,2228,-.11972614E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,V_Al,Charged+2,2227,-.12006396E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,V_Al,Charged-1,2230,-.11903044E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,V_Al,Charged-2,2231,-.11867155E+04,1,0
Ag1Al0.5Ga0.5Se2_kesterite,V_Al,Neutral,2229.0000,-.11938112E+04,1,0
Ag1Al0.5Ga0.5Se2_stannite,Ag_Ga,Charged+1,2218,-.11898453E+04,1,0
Ag1Al0.5Ga0.5Se2_stannite,Ag_Ga,Charged+2,2217,-.11935587E+04,1,0
Ag1Al0.5Ga0.5Se2_stannite,Ag_Ga,Charged-1,2220,-.11822888E+04,1,0
Ag1Al0.5Ga0.5Se2_stannite,Ag_Ga,Charged-2,2221,-.11783746E+04,1,0
Ag1Al0.5Ga0.5Se2_stannite,Ag_Ga,Neutral,2219.0000,-.11861318E+04,1,0
Ag1Al0.5Ga0.5Se2_stannite,Ga_Ag,Charged+1,2233,-.11958737E+04,1,0
