compound,d_eform,d_edec,d_eps,d_slme,pass
Ag1Al0.5Ga0.5S2_kesterite,1.1874999206185066e-08,4.7499998601097104e-08,3.333333342681044e-08,0.0,True
Ag1Al0.5Ga0.5Se2_stannite,6.000000096761937e-08,2.4000000209412065e-07,0.0,0.0,True
Ag1Al0.5Ga0.5Te2_kesterite,2.8437500354527856e-08,1.1375000141811142e-07,3.333333253863202e-08,0.0,True
Ag1Al0.5Ga0.5Te2_stannite,2.2968749568974545e-08,9.187499827589818e-08,3.333333253863202e-08,0.0002999999999993008,True
Ag1Al0.5In0.5Se2_stannite,2.343750038491521e-08,9.3749999763304e-08,3.333333342681044e-08,0.0,True
Ag1Al0.5In0.5Te2_kesterite,4.999999969612645e-08,1.999999987845058e-07,0.0,0.0,True
Ag1Al1S2_kesterite,2.312500013701424e-08,9.249999877170012e-08,0.0,0.0,True
Ag1Al1S2_stannite,1.2500009916038834e-09,5.000000413701855e-09,3.333333342681044e-08,0.0,True
Ag1Al1Se1Te1_stannite,1.5937500652540848e-08,6.375000083380655e-08,0.0,0.0,True
Ag1Al1Se2_kesterite,3.062499942529939e-08,1.2250000125391125e-07,3.333333342681044e-08,0.0,True
Ag1Al1Se2_stannite,2.5000002068509275e-09,1.000000082740371e-08,3.333333342681044e-08,0.0,True
Ag1Al1Te2_kesterite,1.000000127149292e-08,4.000000330961484e-08,3.333333253863202e-08,0.0,True
Ag1Al1Te2_stannite,5.624999577236167e-09,2.2500000085301508e-08,0.0,0.0,True
Ag1Ga0.5In0.5S1Se1_kesterite,6.062500057524289e-08,2.4250000052461473e-07,3.333333342681044e-08,0.0,True
Ag1Ga0.5In0.5S1Se1_stannite,1.3593749681461986e-08,5.4375000502204784e-08,3.333333342681044e-08,0.0,True
Ag1Ga0.5In0.5S2_kesterite,8.906250403839522e-09,3.562499983900125e-08,4.440892098500626e-16,0.0,True
Ag1Ga0.5In0.5S2_stannite,4.359374905504865e-08,1.7437499977290827e-07,8.881784197001252e-16,0.0,True
Ag1Ga0.5In0.5Se2_stannite,4.281249976756385e-08,1.7124999729389856e-07,3.333333342681044e-08,0.0,True
