theory,host,defect,cdir,nelect,F,E0,conv
pbesol,CdSe,As_Se,Charged+1,1942,-.66657388E+03,-.66653531E+03,1
pbesol,CdSe,As_Se,Charged+2,1941,-.66739767E+03,-.66735535E+03,1
pbesol,CdSe,As_Se,Charged-1,1944,-.66476891E+03,-.66476890E+03,1
pbesol,CdSe,As_Se,Charged-2,1945,-.66355797E+03,-.66354387E+03,1
pbesol,CdSe,As_Se,Neutral,1943.0000,-.66571024E+03,-.66568374E+03,1
pbesol,CdSe,As_Se+As_i,Charged+1,1947,-.67128092E+03,-.67126682E+03,1
pbesol,CdSe,As_Se+As_i,Charged+2,1946,-.67254926E+03,-.67254926E+03,1
pbesol,CdSe,As_Se+As_i,Charged-1,1949,-.66839546E+03,-.66839546E+03,1
pbesol,CdSe,As_Se+As_i,Charged-2,1950,-.66647747E+03,-.66647411E+03,1
pbesol,CdSe,As_Se+As_i,Neutral,1948.0000,-.67005367E+03,-.67005367E+03,1
pbesol,CdSe,As_Se+Cl_Se,Charged+1,1943,-.66580241E+03,-.66577886E+03,1
pbesol,CdSe,As_Se+Cl_Se,Charged+2,1942,-.66662852E+03,-.66659309E+03,1
pbesol,CdSe,As_Se+Cl_Se,Charged-1,1945,-.66370955E+03,-.66369544E+03,1
pbesol,CdSe,As_Se+Cl_Se,Charged-2,1946,-.66245542E+03,-.66245542E+03,1
pbesol,CdSe,As_Se+Cl_Se,Neutral,1944.0000,-.66491231E+03,-.66491231E+03,1
pbesol,CdSe,As_Se+Cl_i,Charged+1,1949,-.66920466E+03,-.66920466E+03,1
pbesol,CdSe,As_Se+Cl_i,Charged+2,1948,-.67006547E+03,-.67004106E+03,1
pbesol,CdSe,As_Se+Cl_i,Charged-1,1951,-.66633420E+03,-.66632009E+03,1
pbesol,CdSe,As_Se+Cl_i,Charged-2,1952,-.66503063E+03,-.66503063E+03,1
pbesol,CdSe,As_Se+Cl_i,Neutral,1950.0000,-.66758657E+03,-.66758642E+03,1
pbesol,CdSe,As_Se+O_Se,Charged+1,1942,-.66825874E+03,-.66822770E+03,1
pbesol,CdSe,As_Se+O_Se,Charged+2,1941,-.66904110E+03,-.66900493E+03,1
pbesol,CdSe,As_Se+O_Se,Charged-1,1944,-.66650494E+03,-.66650461E+03,1
pbesol,CdSe,As_Se+O_Se,Charged-2,1945,-.66536608E+03,-.66535198E+03,1
pbesol,CdSe,As_Se+O_Se,Neutral,1943.0000,-.66743310E+03,-.66741279E+03,1
pbesol,CdSe,As_Se+O_i,Charged+1,1948,-.67330287E+03,-.67330270E+03,1
pbesol,CdSe,As_Se+O_i,Charged+2,1947,-.67415806E+03,-.67413669E+03,1
pbesol,CdSe,As_Se+O_i,Charged-1,1950,-.67091757E+03,-.67089851E+03,1
pbesol,CdSe,As_Se+O_i,Charged-2,1951,-.66778915E+03,-.66777082E+03,1
pbesol,CdSe,As_Se+O_i,Neutral,1949.0000,-.67216941E+03,-.67215403E+03,1
pbesol,CdSe,As_i,Charged+1,1948,-.67053052E+03,-.67053052E+03,1
pbesol,CdSe,As_i,Charged+2,1947,-.67183153E+03,-.67181743E+03,1
pbesol,CdSe,As_i,Charged-1,1950,-.66714879E+03,-.66712952E+03,1
pbesol,CdSe,As_i,Charged-2,1951,-.66548532E+03,-.66548532E+03,1
pbesol,CdSe,As_i,Neutral,1949.0000,-.66951754E+03,-.66950343E+03,1
pbesol,CdSe,As_i+As_i,Charged+1,1953,-.67281782E+03,-.67281773E+03,1
pbesol,CdSe,As_i+As_i,Charged+2,1952,-.67495265E+03,-.67495265E+03,1
pbesol,CdSe,As_i+As_i,Charged-1,1955,-.67243590E+03,-.67243590E+03,1
pbesol,CdSe,As_i+As_i,Charged-2,1956,-.66723590E+03,-.66723551E+03,1
pbesol,CdSe,As_i+As_i,Neutral,1954.0000,-.67120201E+03,-.67120201E+03,1
pbesol,CdSe,As_i+Se_i,Charged+1,1954,-.67262443E+03,-.67260709E+03,1
pbesol,CdSe,As_i+Se_i,Charged+2,1953,-.67391919E+03,-.67391918E+03,1
pbesol,CdSe,As_i+Se_i,Charged-1,1956,-.66993765E+03,-.66993765E+03,1
pbesol,CdSe,As_i+Se_i,Charged-2,1957,-.66955254E+03,-.66955254E+03,1
pbesol,CdSe,As_i+Se_i,Neutral,1955.0000,-.67130246E+03,-.67128378E+03,1
pbesol,CdSe,Bi_Cd,Charged+1,1946,-.67011022E+03,-.67011022E+03,1
pbesol,CdSe,Bi_Cd,Charged+2,1945,-.67096644E+03,-.67093994E+03,1
pbesol,CdSe,Bi_Cd,Charged-1,1948,-.66741954E+03,-.66741954E+03,1
pbesol,CdSe,Bi_Cd,Charged-2,1949,-.66465116E+03,-.66462467E+03,1
pbesol,CdSe,Bi_Cd,Neutral,1947.0000,-.66879036E+03,-.66877625E+03,1
pbesol,CdSe,Bi_Cd+Bi_Se,Charged+1,1955,-.66798146E+03,-.66798121E+03,1
pbesol,CdSe,Bi_Cd+Bi_Se,Charged+2,1954,-.66904773E+03,-.66904508E+03,1
pbesol,CdSe,Bi_Cd+Bi_Se,Charged-1,1957,-.66535764E+03,-.66534334E+03,1
pbesol,CdSe,Bi_Cd+Bi_Se,Charged-2,1958,-.66394692E+03,-.66394692E+03,1
pbesol,CdSe,Bi_Cd+Bi_Se,Neutral,1956.0000,-.66671877E+03,-.66671216E+03,1
pbesol,CdSe,Bi_Cd+Bi_i,Charged+1,1961,-.67211688E+03,-.67211679E+03,1
pbesol,CdSe,Bi_Cd+Bi_i,Charged+2,1960,-.67410200E+03,-.67410200E+03,1
pbesol,CdSe,Bi_Cd+Bi_i,Charged-1,1963,-.66830670E+03,-.66830628E+03,1
pbesol,CdSe,Bi_Cd+Bi_i,Charged-2,1964,-.66618307E+03,-.66618307E+03,1
pbesol,CdSe,Bi_Cd+Bi_i,Neutral,1962.0000,-.67048587E+03,-.67048587E+03,1
pbesol,CdSe,Bi_Cd+Cl_Se,Charged+1,1947,-.66875215E+03,-.66873805E+03,1
pbesol,CdSe,Bi_Cd+Cl_Se,Charged+2,1946,-.67005722E+03,-.67005722E+03,1
pbesol,CdSe,Bi_Cd+Cl_Se,Charged-1,1949,-.66500330E+03,-.66500330E+03,1
pbesol,CdSe,Bi_Cd+Cl_Se,Charged-2,1950,-.66248755E+03,-.66248755E+03,1
pbesol,CdSe,Bi_Cd+Cl_Se,Neutral,1948.0000,-.66739543E+03,-.66739543E+03,1
pbesol,CdSe,Bi_Cd+Cl_i,Charged+1,1953,-.67115687E+03,-.67113049E+03,1
pbesol,CdSe,Bi_Cd+Cl_i,Charged+2,1952,-.67201018E+03,-.67197175E+03,1
pbesol,CdSe,Bi_Cd+Cl_i,Charged-1,1955,-.66890865E+03,-.66889455E+03,1
pbesol,CdSe,Bi_Cd+Cl_i,Charged-2,1956,-.66749548E+03,-.66749548E+03,1
pbesol,CdSe,Bi_Cd+Cl_i,Neutral,1954.0000,-.67026984E+03,-.67026984E+03,1
pbesol,CdSe,Bi_Cd+O_Se,Charged+1,1946,-.67179836E+03,-.67179836E+03,1
pbesol,CdSe,Bi_Cd+O_Se,Charged+2,1945,-.67262503E+03,-.67259854E+03,1
pbesol,CdSe,Bi_Cd+O_Se,Charged-1,1948,-.66927768E+03,-.66927768E+03,1
pbesol,CdSe,Bi_Cd+O_Se,Charged-2,1949,-.66673869E+03,-.66672458E+03,1
pbesol,CdSe,Bi_Cd+O_Se,Neutral,1947.0000,-.67056449E+03,-.67055039E+03,1
pbesol,CdSe,Bi_Cd+O_i,Charged+1,1952,-.67392589E+03,-.67388466E+03,1
pbesol,CdSe,Bi_Cd+O_i,Charged+2,1951,-.67475239E+03,-.67470087E+03,1
pbesol,CdSe,Bi_Cd+O_i,Charged-1,1954,-.67213258E+03,-.67213258E+03,1
pbesol,CdSe,Bi_Cd+O_i,Charged-2,1955,-.67079123E+03,-.67077712E+03,1
pbesol,CdSe,Bi_Cd+O_i,Neutral,1953.0000,-.67307237E+03,-.67304947E+03,1
pbesol,CdSe,Bi_Cd+Se_i,Charged+1,1952,-.67323459E+03,-.67323459E+03,1
pbesol,CdSe,Bi_Cd+Se_i,Charged+2,1951,-.67238832E+03,-.67238832E+03,1
pbesol,CdSe,Bi_Cd+Se_i,Charged-1,1954,-.66980859E+03,-.66980859E+03,1
pbesol,CdSe,Bi_Cd+Se_i,Charged-2,1955,-.66791747E+03,-.66791747E+03,1
pbesol,CdSe,Bi_Cd+Se_i,Neutral,1953.0000,-.67188761E+03,-.67187350E+03,1
pbesol,CdSe,Bi_Cd+V_Cd,Charged+1,1934,-.66601380E+03,-.66597585E+03,1
pbesol,CdSe,Bi_Cd+V_Cd,Charged+2,1933,-.66681209E+03,-.66677022E+03,1
pbesol,CdSe,Bi_Cd+V_Cd,Charged-1,1936,-.66432188E+03,-.66432188E+03,1
pbesol,CdSe,Bi_Cd+V_Cd,Charged-2,1937,-.66299404E+03,-.66297993E+03,1
pbesol,CdSe,Bi_Cd+V_Cd,Neutral,1935.0000,-.66518933E+03,-.66516346E+03,1
pbesol,CdSe,Bi_Cd+V_Se,Charged+1,1940,-.66415712E+03,-.66415712E+03,1
pbesol,CdSe,Bi_Cd+V_Se,Charged+2,1939,-.66549116E+03,-.66547706E+03,1
pbesol,CdSe,Bi_Cd+V_Se,Charged-1,1942,-.66103182E+03,-.66103182E+03,1
pbesol,CdSe,Bi_Cd+V_Se,Charged-2,1943,-.65870099E+03,-.65869938E+03,1
pbesol,CdSe,Bi_Cd+V_Se,Neutral,1941.0000,-.66247857E+03,-.66246446E+03,1
pbesol,CdSe,Bi_Se,Charged+1,1952,-.66543767E+03,-.66543324E+03,1
pbesol,CdSe,Bi_Se,Charged+2,1951,-.66631215E+03,-.66627236E+03,1
pbesol,CdSe,Bi_Se,Charged-1,1954,-.66312992E+03,-.66311060E+03,1
pbesol,CdSe,Bi_Se,Charged-2,1955,-.66186229E+03,-.66183907E+03,1
pbesol,CdSe,Bi_Se,Neutral,1953.0000,-.66436546E+03,-.66436500E+03,1
pbesol,CdSe,Bi_Se+Bi_i,Charged+1,1967,-.66976861E+03,-.66975451E+03,1
pbesol,CdSe,Bi_Se+Bi_i,Charged+2,1966,-.67109018E+03,-.67109018E+03,1
pbesol,CdSe,Bi_Se+Bi_i,Charged-1,1969,-.66614821E+03,-.66614816E+03,1
pbesol,CdSe,Bi_Se+Bi_i,Charged-2,1970,-.66435994E+03,-.66435994E+03,1
pbesol,CdSe,Bi_Se+Bi_i,Neutral,1968.0000,-.66839426E+03,-.66839426E+03,1
pbesol,CdSe,Bi_Se+Cl_Se,Charged+1,1953,-.66446174E+03,-.66446108E+03,1
pbesol,CdSe,Bi_Se+Cl_Se,Charged+2,1952,-.66548018E+03,-.66547970E+03,1
pbesol,CdSe,Bi_Se+Cl_Se,Charged-1,1955,-.66204230E+03,-.66202543E+03,1
pbesol,CdSe,Bi_Se+Cl_Se,Charged-2,1956,-.66075852E+03,-.66075852E+03,1
pbesol,CdSe,Bi_Se+Cl_Se,Neutral,1954.0000,-.66328312E+03,-.66326966E+03,1
pbesol,CdSe,Bi_Se+Cl_i,Charged+1,1959,-.66847661E+03,-.66847497E+03,1
pbesol,CdSe,Bi_Se+Cl_i,Charged+2,1958,-.67053033E+03,-.67053033E+03,1
pbesol,CdSe,Bi_Se+Cl_i,Charged-1,1961,-.66585042E+03,-.66583351E+03,1
pbesol,CdSe,Bi_Se+Cl_i,Charged-2,1962,-.66451348E+03,-.66451348E+03,1
pbesol,CdSe,Bi_Se+Cl_i,Neutral,1960.0000,-.66724137E+03,-.66722726E+03,1
pbesol,CdSe,Bi_Se+O_Se,Charged+1,1952,-.66728529E+03,-.66728526E+03,1
pbesol,CdSe,Bi_Se+O_Se,Charged+2,1951,-.66810665E+03,-.66808761E+03,1
pbesol,CdSe,Bi_Se+O_Se,Charged-1,1954,-.66505951E+03,-.66504540E+03,1
pbesol,CdSe,Bi_Se+O_Se,Charged-2,1955,-.66384092E+03,-.66383750E+03,1
pbesol,CdSe,Bi_Se+O_Se,Neutral,1953.0000,-.66622946E+03,-.66622724E+03,1
pbesol,CdSe,Bi_Se+O_i,Charged+1,1958,-.67216809E+03,-.67216552E+03,1
pbesol,CdSe,Bi_Se+O_i,Charged+2,1957,-.67386680E+03,-.67385270E+03,1
pbesol,CdSe,Bi_Se+O_i,Charged-1,1960,-.66959041E+03,-.66958897E+03,1
pbesol,CdSe,Bi_Se+O_i,Charged-2,1961,-.66805347E+03,-.66805347E+03,1
pbesol,CdSe,Bi_Se+O_i,Neutral,1959.0000,-.67090499E+03,-.67089088E+03,1
pbesol,CdSe,Bi_i,Charged+1,1958,-.67063202E+03,-.67063202E+03,1
pbesol,CdSe,Bi_i,Charged+2,1957,-.67196002E+03,-.67194592E+03,1
pbesol,CdSe,Bi_i,Charged-1,1960,-.66640604E+03,-.66640603E+03,1
pbesol,CdSe,Bi_i,Charged-2,1961,-.66410243E+03,-.66410242E+03,1
pbesol,CdSe,Bi_i,Neutral,1959.0000,-.66858785E+03,-.66858784E+03,1
pbesol,CdSe,Bi_i+Bi_i,Charged+1,1973,-.67380402E+03,-.67380400E+03,1
pbesol,CdSe,Bi_i+Bi_i,Charged+2,1972,-.67416582E+03,-.67416582E+03,1
pbesol,CdSe,Bi_i+Bi_i,Charged-1,1975,-.67030402E+03,-.67030402E+03,1
pbesol,CdSe,Bi_i+Bi_i,Charged-2,1976,-.66741168E+03,-.66741168E+03,1
pbesol,CdSe,Bi_i+Bi_i,Neutral,1974.0000,-.67189944E+03,-.67189944E+03,1
pbesol,CdSe,Bi_i+Se_i,Charged+1,1964,-.67346353E+03,-.67346353E+03,1
pbesol,CdSe,Bi_i+Se_i,Charged+2,1963,-.67562314E+03,-.67560904E+03,1
pbesol,CdSe,Bi_i+Se_i,Charged-1,1966,-.67073772E+03,-.67073772E+03,1
pbesol,CdSe,Bi_i+Se_i,Charged-2,1967,-.66868387E+03,-.66868387E+03,1
pbesol,CdSe,Bi_i+Se_i,Neutral,1965.0000,-.67212552E+03,-.67211142E+03,1
pbesol,CdSe,Cd_Se,Charged+1,1949,-.66303560E+03,-.66302150E+03,1
pbesol,CdSe,Cd_Se,Charged+2,1948,-.66428861E+03,-.66428861E+03,1
pbesol,CdSe,Cd_Se,Charged-1,1951,-.65967264E+03,-.65967264E+03,1
pbesol,CdSe,Cd_Se,Charged-2,1952,-.65755800E+03,-.65755800E+03,1
pbesol,CdSe,Cd_Se,Neutral,1950.0000,-.66173137E+03,-.66173137E+03,1
pbesol,CdSe,Cd_i,Charged+1,1955,-.66851273E+03,-.66849863E+03,1
pbesol,CdSe,Cd_i,Charged+2,1954,-.66967715E+03,-.66967715E+03,1
pbesol,CdSe,Cd_i,Charged-1,1957,-.66514449E+03,-.66514186E+03,1
