dir,nelect,vbm,cbm,gap,direct
Ag1Al0.5Ga0.5S2_kesterite,496,3.823725,6.217158,2.393433,True
Ag1Al0.5Ga0.5Se2_stannite,496,3.384541,4.439724,1.055183,True
Ag1Al0.5Ga0.5Te2_kesterite,496,4.344976,5.709470,1.364494,True
Ag1Al0.5Ga0.5Te2_stannite,496,4.650376,5.292768,0.642392,True
Ag1Al0.5In0.5Se2_stannite,496,3.431088,4.306070,0.874982,True
Ag1Al0.5In0.5Te2_kesterite,496,4.668747,5.985825,1.317078,True
Ag1Al1S2_kesterite,104,3.590842,6.722523,3.131681,True
Ag1Al1S2_stannite,104,4.584733,6.713828,2.129095,True
Ag1Al1Se1Te1_stannite,416,4.415583,5.246073,0.830490,True
Ag1Al1Se2_kesterite,104,3.298582,5.119872,1.821290,True
Ag1Al1Se2_stannite,104,3.745237,5.023947,1.278710,True
Ag1Al1Te2_kesterite,104,4.535836,6.586412,2.050576,True
Ag1Al1Te2_stannite,104,4.796852,5.917703,1.120851,True
Ag1Ga0.5In0.5S1Se1_kesterite,576,3.474695,4.740305,1.265610,True
Ag1Ga0.5In0.5S1Se1_stannite,576,3.559323,4.567211,1.007888,True
Ag1Ga0.5In0.5S2_kesterite,576,3.892574,5.502863,1.610289,True
Ag1Ga0.5In0.5S2_stannite,576,4.116152,5.463341,1.347189,True
Ag1Ga0.5In0.5Se2_stannite,576,3.227518,3.941110,0.713592,True
Ag1Ga0.5In0.5Te2_kesterite,576,4.412515,5.263575,0.851060,True
Ag1Ga0.5In0.5Te2_stannite,576,4.612087,4.985203,0.373116,True
Ag1Ga1S1Te1_stannite,576,4.804399,4.934746,0.130347,True
Ag1Ga1S2_kesterite,144,4.141417,5.901720,1.760303,True
Ag1Ga1S2_stannite,144,3.919198,5.740253,1.821055,True
Ag1Ga1Se1Te1_kesterite,576,3.794221,4.830462,1.036241,True
Ag1Ga1Se2_kesterite,144,2.990853,4.288283,1.297430,True
Ag1Ga1Se2_stannite,144,3.137545,4.078630,0.941085,True
Ag1Ga1Te2_kesterite,144,4.532581,5.742408,1.209827,True
Ag1Ga1Te2_stannite,144,4.510831,4.897336,0.386505,True
Ag1In1S1Se1_stannite,576,3.827101,4.504939,0.677838,True
Ag1In1S1Te1_kesterite,576,4.395129,5.362463,0.967334,True
Ag1In1S1Te1_stannite,576,4.745384,4.984399,0.239015,True
Ag1In1S2_kesterite,144,4.414141,5.464691,1.050550,True
Ag1In1S2_stannite,144,4.009180,5.312103,1.302923,True
Ag1In1Se1Te1_kesterite,576,4.053077,4.880998,0.827921,True
Ag1In1Se2_kesterite,144,3.364425,4.234937,0.870512,True
Ag1In1Te2_kesterite,144,5.209224,6.169696,0.960472,True
Ag1In1Te2_stannite,144,5.201182,5.755919,0.554737,True
Ag2Ba0.5Cd0.5Ge1S4_kesterite,568,2.804631,4.523878,1.719247,False
Ag2Ba0.5Cd0.5Ge1S4_stannite,568,3.124553,4.615897,1.491344,True
Ag2Ba0.5Cd0.5Ge1Se4_kesterite,568,2.459490,3.624087,1.164597,False
Ag2Ba0.5Cd0.5Ge1Se4_stannite,568,2.387832,3.119289,0.731457,True
Ag2Ba0.5Cd0.5Ge1Te4_stannite,568,4.665555,5.319545,0.653990,True
Ag2Ba0.5Cd0.5Sn1S4_kesterite,568,3.427598,4.994351,1.566753,True
Ag2Ba0.5Cd0.5Sn1S4_stannite,568,3.584661,4.940999,1.356338,True
Ag2Ba0.5Cd0.5Sn1Se4_kesterite,568,2.278599,3.192595,0.913996,True
Ag2Ba0.5Cd0.5Sn1Se4_stannite,568,3.244170,4.074495,0.830325,True
Ag2Ba0.5Cd0.5Sn1Te4_stannite,568,3.600638,4.244271,0.643633,True
Ag2Ba0.5Cd0.5Zr1S4_kesterite,552,3.096230,5.474717,2.378487,True
Ag2Ba0.5Cd0.5Zr1S4_stannite,552,3.421678,5.279353,1.857675,False
Ag2Ba0.5Cd0.5Zr1Se4_kesterite,552,2.035798,3.937938,1.902140,True
Ag2Ba0.5Cd0.5Zr1Se4_stannite,552,2.979470,4.495647,1.516177,False
Ag2Ba0.5Cd0.5Zr1Te4_stannite,552,3.309318,4.344406,1.035088,True
Ag2Ba0.5Zn0.5Ge1S4_kesterite,568,3.036386,4.715931,1.679545,False
Ag2Ba0.5Zn0.5Ge1S4_stannite,568,3.181678,4.528227,1.346549,False
Ag2Ba0.5Zn0.5Ge1Se4_kesterite,568,2.612489,3.682928,1.070439,False
Ag2Ba0.5Zn0.5Ge1Se4_stannite,568,2.710524,3.400269,0.689745,True
Ag2Ba0.5Zn0.5Ge1Te4_stannite,568,4.788622,5.095124,0.306502,True
Ag2Ba0.5Zn0.5Sn1S4_kesterite,568,3.494899,4.998774,1.503875,False
Ag2Ba0.5Zn0.5Sn1S4_stannite,568,3.621085,4.811927,1.190842,True
Ag2Ba0.5Zn0.5Sn1Se4_kesterite,568,3.025173,4.028498,1.003325,False
Ag2Ba0.5Zn0.5Sn1Se4_stannite,568,3.156447,3.848772,0.692325,True
Ag2Ba0.5Zn0.5Sn1Te4_kesterite,568,3.624571,4.295319,0.670748,True
Ag2Ba0.5Zn0.5Sn1Te4_stannite,568,3.594399,4.077095,0.482696,True
Ag2Ba0.5Zn0.5Zr1S4_kesterite,552,3.376883,5.459062,2.082179,True
Ag2Ba0.5Zn0.5Zr1S4_stannite,552,3.400016,5.295006,1.894990,False
