theory,host,src,F,vbm,cbm,gap
pbesol,CdSe0.06Te0.94,hostBulk,-.59591150E+03,2.0943,2.6929,0.5985
pbesol,CdSe0.12Te0.88,hostBulk,-.59969756E+03,2.0390,2.6142,0.5752
pbesol,CdSe0.20Te0.80,hostBulk,-.60546621E+03,1.9626,2.4949,0.5322
pbesol,CdSe0.25Te0.75,hostBulk,-.61018861E+03,1.8982,2.4059,0.5077
pbesol,CdTe,hostBulk,-.59222338E+03,2.1368,2.7701,0.6333
pbesol,chem_pot,hostBulk,,,,
lib_pbe,Cd0.25Zn0.75Te,libBulk,-.54770647E+03,2.5533,3.4341,0.8808
lib_pbe,Cd0.50Zn0.50Te,libBulk,-.53721408E+03,2.3029,3.0440,0.7411
lib_pbe,Cd0.75Zn0.25Te,libBulk,-.52775381E+03,2.0418,2.6841,0.6423
lib_pbe,CdSe,libBulk,-.59339793E+03,0.5199,1.0091,0.4892
lib_pbe,CdSe0.06Te0.94,libBulk,-.52270687E+03,1.7313,2.2692,0.5379
lib_pbe,CdSe0.12Te0.88,libBulk,-.52652283E+03,1.6767,2.1962,0.5194
lib_pbe,CdSe0.20Te0.80,libBulk,-.53223628E+03,1.6074,2.0959,0.4884
lib_pbe,CdSe0.25Te0.75,libBulk,-.53603100E+03,1.5510,2.0175,0.4664
lib_pbe,CdSe0.50Te0.50,libBulk,-.55385095E+03,1.2868,1.6695,0.3827
lib_pbe,CdSe0.75Te0.25,libBulk,-.57300015E+03,0.9401,1.3342,0.3941
lib_pbe,CdTe,libBulk,-.51908109E+03,1.7661,2.3323,0.5662
lib_pbe,ZnTe,libBulk,-.55945888E+03,2.8173,3.8755,1.0582
lib_pbesol,Cd0.25Zn0.75Te,libBulk,-.62492771E+03,2.9446,3.9588,1.0142
lib_pbesol,Cd0.50Zn0.50Te,libBulk,-.61313508E+03,2.6813,3.5292,0.8479
lib_pbesol,Cd0.75Zn0.25Te,libBulk,-.60230364E+03,2.4153,3.1468,0.7315
lib_pbesol,CdSe,libBulk,-.66645895E+03,0.7442,1.2044,0.4602
lib_pbesol,CdSe0.06Te0.94,libBulk,-.59582973E+03,2.1034,2.7022,0.5988
lib_pbesol,CdSe0.12Te0.88,libBulk,-.59964902E+03,2.0470,2.6227,0.5758
